iter	Logloss
0	0.5825811514
1	0.4834773743
2	0.4059153859
3	0.3313061933
4	0.2791312512
5	0.2369202994
6	0.1974919283
7	0.1698134054
8	0.1482661323
9	0.1283693193
10	0.1087292232
11	0.09592147394
12	0.084875644
13	0.072295396
14	0.06406457861
15	0.05711849395
16	0.05111684973
17	0.04598247049
18	0.04227489502
19	0.03863369395
20	0.03580518644
21	0.03287634887
22	0.0295013586
23	0.02687505193
24	0.0249100148
25	0.02324046816
26	0.02138945918
27	0.02023323156
28	0.01824432275
29	0.01717499568
30	0.01586101346
31	0.01444048658
32	0.01319580353
33	0.01253517086
34	0.01178107972
35	0.01125750035
36	0.0108063002
37	0.01040424214
38	0.009624783026
39	0.009225279913
40	0.008572068175
41	0.008017525323
42	0.007768098306
43	0.007524830833
44	0.007127616116
45	0.006893693006
46	0.006644421832
47	0.006478771387
48	0.006297312233
49	0.006048615644
50	0.005896625234
51	0.005713535437
52	0.005558057593
53	0.005398696189
54	0.005265611392
55	0.005139836107
56	0.004976257651
57	0.004788067025
58	0.004695145964
59	0.004596218781
60	0.004455568724
61	0.004376854803
62	0.004168336486
63	0.004092723735
64	0.004006749837
65	0.003944014465
66	0.003880919192
67	0.003709264781
68	0.003651922489
69	0.003583988916
70	0.00349166546
71	0.003423399635
72	0.003353153577
73	0.003285717829
74	0.003228008202
75	0.003161168971
76	0.003084689781
77	0.003044233073
78	0.003011204146
79	0.0029692572
80	0.002926868368
81	0.002863629147
82	0.00282429515
83	0.002777247704
84	0.002729574048
85	0.002701087347
86	0.002662048997
87	0.002629285287
88	0.002593462309
89	0.002554833071
90	0.002522723988
91	0.002471320819
92	0.002439616731
93	0.002404289361
94	0.002381450937
95	0.002359993518
96	0.002323295284
97	0.002291404226
98	0.002269097568
99	0.002232059617
100	0.002179098948
101	0.002149155417
102	0.002084778004
103	0.002056323667
104	0.002030467946
105	0.001997027172
106	0.001979908155
107	0.00195502298
108	0.001922610409
109	0.001899462614
110	0.00187501867
111	0.001845102015
112	0.001817185176
113	0.001801063204
114	0.001773095482
115	0.001756161436
116	0.001729655223
117	0.00171319923
118	0.001697016197
119	0.001683232909
120	0.001668185356
121	0.001650436209
122	0.00162994896
123	0.001610743028
124	0.001592099117
125	0.001575265713
126	0.0015565015
127	0.001538414738
128	0.001520860056
129	0.001506768933
130	0.001487014185
131	0.001473366009
132	0.001461334742
133	0.001450675393
134	0.001440190589
135	0.001427667594
136	0.001416857901
137	0.001402508176
138	0.001392688483
139	0.001381531203
140	0.001364340548
141	0.001355268257
142	0.001341834105
143	0.001332055051
144	0.001321860073
145	0.001310266527
146	0.00129770403
147	0.001288533989
148	0.001280209877
149	0.001273764528
150	0.001266217301
151	0.00125804796
152	0.00124623792
153	0.001234558848
154	0.001227261367
